songs,artist,decade,lyrics,sentiment_analysis_score,sentiment_analysis_magnitude
Come Fly With Me,Frank Sinatra,1950,"Come fly with me, let's fly, let's fly away
If you can use some exotic booze, there's a bar in far Bombay
Come fly with me, let's fly, let's fly away

Come fly with me, let's float down to Peru
In llama land, there's a one man band, and he'll toot his flute for you
Come fly with me, let's take off in the blue

[Chorus]
Once I get you up there, where the air is rarefied
We'll just glide, starry-eyed
Once I get you up there I'll be holding you so near
You may hear angels cheer 'cause we're together

Weather wise, it's such a lovely day
Just say the words and we'll beat the birds down to Acapulco Bay
It's perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly away

[Chorus]
Once I get you up there, where the air is rarefied
We'll just glide, starry-eyed
Once I get you up there I'll be holding you so near
You may hear angels cheer 'cause we're together

Weather wise, it's such a lovely day
You just say the words and we'll beat the birds down to Acapulco Bay
It's perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly
Pack up, let's fly away

[Outro]
Pack a small bag",0.5,3.799999952
That's Amore,Dean Martin,1950,"[Intro]
In Napoli where love is king
When boy meets girl
Here's what they say

[Chorus]
When the moon hits your eye
Like a big pizza pie, that's amore
When the world seems to shine
Like you've had too much wine, that's amore

[Bridge]
Bells will ring ting-a-ling-a-ling
Ting-a-ling-a-ling and you'll sing, ""Vita bella""
Hearts will play tippy-tippy-tay
Tippy-tippy-tay like a gay tarantella

[Verse]
When the stars make you drool
Just like a pasta e fagioli, that's amore
When you dance down the street
With a cloud at your feet, you're in love
When you walk in a dream
But you know, you're not dreaming signore
Scusami, but you see
Back in old Napoli, that's amore

[Chorus]
When the moon hits your eye
Like a big pizza pie, that's amore
When the world seems to shine
Like you've had too much wine, that's amore

[Bridge]
Bells will ring ting-a-ling-a-ling
Ting-a-ling-a-ling and you'll sing, ""Vita bella""
Hearts will play tippy-tippy-tay
Tippy-tippy-tay like a gay tarantella
Lucky fella

[Verse]
When the stars make you drool
Just like a pasta e fazul, that's amore
When you dance down the street
With a cloud at your feet, you're in love
When you walk in a dream
But you know, you're not dreaming signore
Scusami, but you see
Back in old Napoli, that's amore

[Outro]
That's amore",0.6999999881,5.699999809
Jailhouse Rock,Elvis Presley,1950,"The warden threw a party in the county jail
The prison band was there and they began to wail
The band was jumpin' and the joint began to swing
You should've heard them knocked-out jailbirds sing
Let's rock everybody, let's rock
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock
Spider Murphy played the tenor saxophone
Little Joe was blowin' on the slide trombone
The drummer boy from Illinois went crash, boom, bang
The whole rhythm section was the Purple Gang
Let's rock everybody, let's rock
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock
Number forty-seven said to number three
""You're the cutest jailbird I ever did see
I sure would be delighted with your company
Come on and do the Jailhouse Rock with me""
Let's rock everybody, let's rock
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock
Sad sack was sittin' on a block of stone
Way over in the corner weepin' all alone
The warden said, ""hey, buddy, don't you be no square
If you can't find a partner, use a wooden chair""
Let's rock everybody, let's rock
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock
Shifty Henry said to Bugs, ""For Heaven's sake
No one's lookin' now's our chance to make a break""
Bugsy turned to Shifty and he said, ""Nix, Nix
I want to stick around a while and get my kicks""
Let's rock everybody, let's rock
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock",-0.5,1
I Walk The Line,Johnny Cash,1950,"[Verse]
I've got you under my skin
I've got you deep in the heart of me
So deep in my heart that you're really a part of me
I've got you under my skin
I tried so not to give in
I said to myself, 'this affair never will go so well'
But why should I try to resist when, baby, I know so well
I've got you under my skin?

[Pre-Chorus 1]
I'd sacrifice anything, come what might
For the sake of having you near
In spite of a warning voice that comes in the night
And repeats, repeats in my ear

[Chorus 1]
""Don't you know little fool, you never can win?
Use your mentality, wake up to reality""
But each time that I do, just the thought of you
Makes me stop before I begin
'Cause I've got you under my skin

[Pre-Chorus 2]
I would sacrifice anything, come what might
For the sake of having you near
In spite of a warning voice that comes in the night
And repeats, how it yells in my ear

[Chorus 2]
""Don't you know, little fool, you never can win?
Why not use your mentality? Step up, wake up to reality""
But each time I do, just the thought of you
Makes me stop just before I begin
'Cause I've got you under my skin
Yes, I've got you, under my skin",-0.200000003,3.5
I've Got You Under My Skin,Frank Sinatra,1950,"I've got you under my skin
I have got you, deep in the heart of me
So deep in my heart that you're really a part of me
I've got you under my skin
I'd tried so, not to give in
I said to myself this affair it never will go so well
But why should I try to resist when baby I know so well
I've got you under my skin
I'd sacrifice anything come what might
For the sake of having you near
In spite of a warning voice that comes in the night
And repeats, repeats in my ear
Don't you know, little fool
You never can win
Use your mentality
Wake up to reality
But each time I do just the thought of you
Makes me stop before I begin
'Cause I've got you under my skin
I would sacrifice anything come what might
For the sake of having you near
In spite of a warning voice that comes in the night
And repeats how it yells in my ear
Don't you know, little fool
You never can win
Why not use your mentality
Step up, wake up to reality
But each time I do just the thought of you
Makes me stop just before I begin
Because I've got you under my skin
Yes, I've got you under my skin",-0.6000000238,0.6000000238
All Shook Up,Elvis Presley,1950,"A well'a bless my soul
What'sa wrong with me?
I'm itchin' like a man on a fuzzy tree
My friends say I'm actin' wild as a bug
I'm in love
I'm all shook up
Mm mm mm, mm, yay, yay, yay
Well, my hands are shaky and my knees are weak
I can't seem to stand on my own two feet
Who do you think of when you have such luck?
I'm in love
I'm all shook up
Mm mm mm, mm, yay, yay, yay
Well, please don't ask me what'sa on my mind
I'm a little mixed up, but I'm feelin' fine
When I'm near that girl that I love best
My heart beats so it scares me to death!
Well she touched my hand what a chill I got
Her lips are like a volcano when it's hot
I'm proud to say that she's my buttercup
I'm in love
I'm all shook up
Mm mm mm, mm, yay, yay, yay
My tongue gets tied when I try to speak
My insides shake like a leaf on a tree
There's only one cure for this body of mine
That's to have that girl that I love so fine!
She touched my hand what a chill I got
Her lips are like a volcano that's hot
I'm proud to say that she's my buttercup
I'm in love
I'm all shook up
Mm mm mm, mm, yay, yay, yay
Mm mm mm, mm, yay, yay
I'm all shook up",0.5,2.700000048
In The Mood,Glenn Miller,1950,,-0.400000006,0.8000000119
La Bamba,Ritchie Valens,1950,"[Letra de ""La Bamba""]

Para bailar La Bamba
Para bailar La Bamba se necesita una poca de gracia
Una poca de gracia
Pa' mi, pa' ti, y arriba, y arriba
Y arriba y arriba
Por ti seré, por ti seré, por ti seré

Yo no soy marinero
Yo no soy marinero, soy capitán
Soy capitán, soy capitán
Bamba, bamba
Bamba, bamba
Bamba, bamba, bam

Para bailar La Bamba
Para bailar La Bamba
Se necesita una poca de gracia
Una poca de gracia
Para mi, para ti, ay arriba, ay arriba

Para bailar La Bamba
Para bailar La Bamba
Se necesita una poca de gracia
Una poca de gracia
Pa' mi, pa' ti, ay arriba, ay arriba
Y arriba y arriba
Por ti seré, por ti seré, por ti seré

Bamba, bamba
Bamba, bamba
Bamba, bamba",-0.200000003,2.900000095
You Make Me Feel So Young,Frank Sinatra,1950,"You make me feel so young
You make me feel so spring has sprung
And every time I see you grin
I'm such a happy individual

The moment that you speak
I wanna go play hide-and-seek
I wanna go and bounce the moon
Just like a toy balloon

You and I are just like a couple of tots
Running across the meadow
Picking up lots of forget-me-nots

You make me feel so young
You make me feel there are songs to be sung
Bells to be rung
And a wonderful fling to be flung

And even when I'm old and gray
I'm gonna feel the way I do today
'Cause you make me feel so young

You make me feel so young
You make me feel so spring has sprung
And every time I see you grin
I'm such a happy individual

The moment that you speak
I wanna go play hide-and-seek
I wanna go and bounce the moon
Just like a toy balloon

You and I are just like a couple of tots
Running across the meadow
Picking up lots of forget-me-nots

You make me feel so young
You make me feel there are songs to be sung
Bells to be rung
Wonderful fling to be flung

And even when I'm old and gray
I'm gonna feel the way I do today
'Cause you, you make me feel so young
You make me feel so young
You make me feel so young
Ooh, you make me feel so young",0.5,5.400000095
Love Me Tender,Elvis Presley,1950,"Love me tender, love me sweet
Never let me go
You have made my life complete
And I love you so
Love me tender, love me true
All my dreams fulfill
For, my darling I love you
And I always will
Love me tender, love me dear
Tell me you are mine
I'll be yours through all the years
'Till the end of time
Love me tender, love me true
All my dreams fulfill
For, my darling I love you
And I always will
Love me tender, love me true
All my dreams fulfill
For, my darling I love you
And I always will
Always will",0.8000000119,0.8000000119
