songs,artist,decade,lyrics,curse_word_count,sentiment_analysis,sentiment_analysis_score,sentiment_analysis_magnitude,result
Come Fly With Me,Frank Sinatra,1950,,,,0.5,3.7999999523162837,
That's Amore,Dean Martin,1950,,,,0.699999988079071,5.699999809265138,
Jailhouse Rock,Elvis Presley ,1950,,,,,,
I Walk The Line,Johnny Cash,1950,,,,0.6000000238418579,3.2999999523162837,
I've Got You Under My Skin,Frank Sinatra,1950,,,,-0.20000000298023224,3.5,
All Shook Up,Elvis Presley ,1950,,,,,,
In The Mood,Glenn Miller,1950,,,,-0.4000000059604645,0.8000000119209291,
La Bamba,Ritchie Valens,1950,,,,-0.20000000298023224,2.900000095367432,
You Make Me Feel So Young,Frank Sinatra,1950,,,,0.5,5.400000095367432,
Love Me Tender,Elvis Presley ,1950,,,,,,
Sweet Caroline(Good Times Never Seemed So Good),Neil Diamond,1960,,,,,,
Shout,Otis Day And The Knights/Isley Brothers,1960,,,,,,
Brown Eyed Girl,Van Morrison,1960,,,,,,
The Way You Look Tonight,Frank Sinatra,1960,,,,,,
Twist And Shout,Beatles,1960,,,,,,
At Last,Etta James,1960,,,,,,
My Girl,Temptations,1960,,,,0.20000000298023224,5.300000190734863,
What A Wonderful World,Louis Armstrong,1960,,,,,,
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1960,,,,,,
Build Me Up Buttercup,Foundations,1960,,,,0.0,5.599999904632568,
Wonderful Tonight,Eric Clapton,1970,,,,,,
YMCA,Village People,1970,,,,,,
We Are Family,Sister Sledge,1970,,,,,,
Sweet Home Alabama,Lynyrd Skynyrd,1970,,,,,,
Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,1970,,,,,,
Dancing Queen,ABBA,1970,,,,,,
Play That Funky Music,Wild Cherry,1970,,,,,,
Don't Stop 'Til You Get Enough,Michael Jackson,1970,,,,0.30000001192092896,5.099999904632568,
Brick House,Commodores,1970,,,,,,
September,"Earth, Wind & Fire",1970,,,,,,
Don't Stop Believin',Journey,1980,,,,0.20000000298023224,2.5,
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1980,,,,0.30000001192092896,6.5999999046325675,
You Shook Me All Night Long,AC/DC,1980,,,,,,
Love Shack,B-52's,1980,,,,,,
Pour Some Sugar On Me,Def Leppard,1980,,,,,,
Footloose,Kenny Loggins,1980,,,,,,
Livin' On A Prayer,Bon Jovi,1980,,,,0.10000000149011612,3.900000095367432,
Billie Jean,Michael Jackson,1980,,,,0.0,6.0999999046325675,
Celebration,Kool & The Gang,1980,,,,,,
Thriller,Michael Jackson,1980,,,,0.0,3.7000000476837163,
Friends In Low Places,Garth Brooks,1990,,,,-0.30000001192092896,2.400000095367432,
Electric Slide,Marcia Griffiths,1990,,,,0.10000000149011612,6.800000190734862,
Baby Got Back,Sir Mix-A-Lot,1990,,,,,,
Cotton Eye Joe,Rednex,1990,,,,,,
Ice Ice Baby,Vanilla Ice,1990,,,,,,
Wannabe,Spice Girls,1990,,,,0.10000000149011612,4.400000095367432,
This Is How We Do It,Montell Jordan,1990,,,,0.0,6.4000000953674325,
Macarena,Los Del Rio,1990,,,,,,
Jump Around,House Of Pain,1990,,,,0.20000000298023224,23.399999618530273,
I Don't Want To Miss A Thing,Aerosmith,1990,,,,0.20000000298023224,3.5,
Cupid Shuffle,Cupid,2000,,,,,,
Cha-Cha Slide,Mr. C The Slide Man,2000,,,,,,
Wobble,V.I.C.,2000,,,,,,
I Gotta Feeling,Black Eyed Peas,2000,,,,,,
Single Ladies (Put A Ring On It),Beyonce,2000,,,,,,
Yeah,Usher,2000,,,,0.10000000149011612,18.100000381469727,
Hey Ya!,Outkast,2000,,,,,,
Low,Flo Rida Featuring T-Pain,2000,,,,,,
SexyBack,Justin Timberlake,2000,,,,,,
Just Dance,Lady Gaga Featuring Colby O'Donis,2000,,,,,,
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2010,,,,0.20000000298023224,9.199999809265137,
Happy,Pharrell Williams,2010,,,,0.0,6.800000190734862,
All Of Me,John Legend,2010,,,,0.4000000059604645,7.5,
Shut Up And Dance,Walk The Moon,2010,,,,0.0,4.400000095367432,
Party Rock Anthem,LMFAO,2010,,,,0.30000001192092896,14.399999618530273,
Shake It Off,Taylor Swift,2010,,,,0.0,5.099999904632568,
Thinking Out Loud,Ed Sheeran,2010,,,,0.5,5.300000190734863,
Marry You,Bruno Mars,2010,,,,0.20000000298023224,6.9000000953674325,
Blurred Lines,Robin Thicke Featuring T.I. & Pharrell,2010,,,,-0.699999988079071,0.699999988079071,
Turn Down For What,DJ Snake & Lil Jon,2010,,,,-0.699999988079071,0.699999988079071,
